Country,Region,Maker,"First Fursuit Social Media Post",Link,Suits Added: 838/855 - 99% Complete (132 Suits Remaining),No of Suits,Suits Added,Completed By
Canada,Alberta,Little Fangs Fursuits,,Little Fangs Fursuits,https://twitter.com/littlefangsfur?lang=en,9,Complete,Ricotiger
United States,West Viginia,Lizard King Designs,,Lizard King Designs,https://lizardkingdesigns.weebly.com/,3,Complete,Shooter
United States,Indiana,Lizard Loves Mustache,,Lizard Loves Mustache,http://www.lizardlovesmustache.com/,76,Complete,Ricotiger
Brazil,São Paulo,Lizaruk,,Lizaruk,http://www.furaffinity.net/user/lizaruk/,21,Complete,Ricotiger
United States,Florida,LKR Mascots,,LKR Mascots,http://lkrmascots.wixsite.com/lkrmascots,13,Complete,Ricotiger
United States,Georgia,Lobita Works,,Lobita Works,http://www.furaffinity.net/user/lobitaworks/,82,Complete,Ricotiger
United States,Maryland,Locado,,Locado,http://www.furaffinity.net/user/locadocoon/,6,Complete,Ricotiger
United States,Unknown,Locomotion Fursuits,,Locomotion Fursuits,http://www.furaffinity.net/user/Locomotion/,3,Complete,Ricotiger
United States,Unknown,Lodi Dah Fursuits,,Lodi Dah Fursuits,https://lodidahfursuits.weebly.com/,0,No Names,Ricotiger
Brazil,Unknown,Loris,,Loris,http://www.furaffinity.net/user/loris/,9,Complete,Ricotiger
United Kingdom,Manchester,Loui,,Loui,https://www.furaffinity.net/user/loui/,11,Complete,Ricotiger
Australia,Queensland,Lucky Dog Fursuits,,Lucky Dog Fursuits,https://luckydogfursuits.com/,26,Complete,Ricotiger
United States,Oregon,Lucky Gum Fursuits,,Lucky Gum Fursuits,http://www.luckygumfursuits.com/,15,Complete,Ricotiger
Russia,Unknown,Lunar Forest,,Lunar Forest,http://lunarforest.ru/,39,Complete,Ricotiger
United States,Unknown,Lunar Wolf Pup Studios,,Lunar Wolf Pup Studios,https://www.facebook.com/lunarwolfpupstudios,21,Complete,Shooter
United States,Texas,Luno Vulpes,,Luno Vulpes,http://www.furaffinity.net/user/lunovulpes/,83,Complete,Ricotiger
United Kingdom,Unknown,Lupinemoonfeather,,Lupinemoonfeather,https://www.furaffinity.net/user/lupinemoonfeather/,2,Complete,Ricotiger
United States,Unknown,Luskwood Creatures,,Luskwood Creatures,http://luskwood.org/,14,Complete,Ricotiger
United States,Tennessee,Macaroni Market,,Macaroni Market,http://macaronimarkets.weebly.com/,0,Complete,Shooter
United States,Unknown,Mackoolzie,,Mackoolzie,https://macaronimarkets.weebly.com/,6,Complete,Ricotiger
United Kingdom,Unknown,Made by Mercury,,Made by Mercury,http://madebymercury.co.uk/,73,Complete,Ricotiger
United States,Alabama,Made by Muttmix,,Made by Muttmix,https://www.furaffinity.net/user/MadeByMuttmix,36,Complete,Ricotiger
United States,Unknown,Made Fur You,,Made Fur You,http://www.madefuryou.com/,545,Complete,Ricotiger
Hungary,Unknown,Made in Holland,,Made in Holland,https://www.furaffinity.net/user/madeinholland/,2,Complete,Ricotiger
United Kingdom,Brighton,Made4Hugging,,Made4Hugging,https://www.furaffinity.net/user/pixelbunny/,28,Complete,Ricotiger
United States,Unknown,Magic Foxy Artworks,,Magic Foxy Artworks,http://magicfoxy.com/,3,Complete,Ricotiger
United States,Wisconsin,Magnus Diridian,,Magnus Diridian,http://www.furaffinity.net/user/magnusdiridian/,47,Complete,Ricotiger
United States,Unknown,MagpieBones,,MagpieBones,http://www.magpiebones.com/,8,No Names,Ricotiger
United States,Unknown,Maj Mania,,Maj Mania,https://aminoapps.com/c/furry-amino/page/user/majeste749-maj-mania749/j04Y_XwPSpf38Jz2klZ182PkBwJm0YL1XxxIk,2,Complete,Shooter
United States,Massachusetts,Mango Island Creations,,Mango Island Creations,https://www.furaffinity.net/user/MangoIslandCreations,44,Complete,Ricotiger
United States,Florida,Mangusu,,Mangusu,http://www.furaffinity.net/user/mangusu/,7,Complete,Ricotiger
Denmark,Randers,Maria’s Creative Corner,,Maria’s Creative Corner,http://mcreativecorner.com/,25,Complete,Shooter
United States,Unknown,Marylen Costumes,,Marylen Costumes,http://www.marylen.com/,11,No Names,Ricotiger
United States,Ohio,Matchapawz,,Matchapawz,https://twitter.com/Matchapawz,1,Complete,Shooter
United States,Washington,Matrices,,Matrices,http://www.matrices.net/,21,Complete,Ricotiger
Germany,Dortmund,Meanie Beanie Fursuits (Star Seeker),,Meanie Beanie Fursuits (Star Seeker),https://twitter.com/starseekerdoggo,10,Complete,Ricotiger
United Kingdom,Unknown,Mei Fursuits,22/07/2015,Mei Fursuits,https://meifursuits.weebly.com/,34,Complete,Shooter
United States,Ohio,Melissa Mendelson Art,,Melissa Mendelson Art,https://www.melissamendelsonart.com/,1,Complete,Shooter
United States,Colorado,Menagerie Workshop,,Menagerie Workshop,https://menagerieworkshop.com/,63,Complete,Ricotiger
United States,Unknown,Mercifur,,Mercifur,https://www.deviantart.com/mercifur,3,Complete,Ricotiger
United States,Unknown,Messerschmitt,,Messerschmitt,https://messerschmitt51.webs.com/,3,Complete,Ricotiger
United States,Georgia,Metaldog00781,,Metaldog00781,http://www.furaffinity.net/user/Metaldog00781,3,Complete,Ricotiger
United States,Delaware,Micro Mascots,,Micro Mascots,https://twitter.com/micromascots?lang=en-gb,1,No Names,Ricotiger
United States,Unknown,Midnight Storm Creations,,Midnight Storm Creations,http://www.furaffinity.net/user/midnightstormcreations/,18,Complete,Shooter
Canada,Ontario,Midnight Swimmers,,Midnight Swimmers,https://midnightswimmers.com/,12,Complete,Ricotiger
China,Unknown,Midowko Art,,Midowko Art,https://www.furaffinity.net/user/Midowko,15,Complete,Ricotiger
United States,Unknown,Mijou,,Mijou,https://www.furaffinity.net/user/mijou,3,Complete,Shooter
United States,Unknown,Mini Boss Mascots (Marshmallowe),,Mini Boss Mascots,https://www.furaffinity.net/user/Marshmallowtwirl,21,Complete,Ricotiger
United States,California,Mirepoix,,Mirepoix,https://www.furaffinity.net/user/Mirepoix,6,Complete,Ricotiger
United States,California,Mischief Makers,,Mischief Makers,http://www.fluffymischief.com/,145,Complete,Bon
United States,California,Miss Wolfiee,,Miss Wolfiee,https://www.furaffinity.net/user/MissWolfiee,15,Complete,Ricotiger
United States,Pennsylvania,MissRaptor,,MissRaptor,http://www.shingfx.com/,0,Broken Link,Shooter
United States,Alaska,Mitha,,Mitha,http://www.furaffinity.net/user/Mitha,11,Complete,Ricotiger
United States,Unknown,Mixed Candy,,Mixed Candy,https://www.mixedcandycostumes.com/,347,Complete,Ricotiger
Netherlands,Unknown,Mixed Monsters,,Mixed Monsters,https://twitter.com/MixedMonsters,4,Complete,Shooter
Japan,Unknown,Mochiri,,Mochiri,http://www.furaffinity.net/user/mochiri/,7,Complete,Ricotiger
Australia,Unknown,Monkaus Furry Bitz,,Monkaus Furry Bitz,https://www.furaffinity.net/user/monkausfurrybitz/,13,Complete,Ricotiger
United States,Pennsylvania,Monster Cat Creations,,Monster Cat Creations,https://www.furaffinity.net/user/MonsterCatCreations,32,Complete,Ricotiger
United States,Tennessee,Monster Deer Creations,,Monster Deer Creations,https://www.furaffinity.net/user/MonsterDeerCreations,6,Complete,Ricotiger
United States,Unknown,Moon Devourer,,Moon Devourer,http://www.furaffinity.net/user/moondevourer/,2,Complete,Ricotiger
United States,Pennsylvania,Moon Mochi,,Moon Mochi,http://www.furaffinity.net/user/moonmochi,6,Complete,Ricotiger
United States,indiana,Moonlight Delights,,Moonlight Delights,http://www.furaffinity.net/user/moonlightdelights,0,Complete,Shooter
Spain,Unknown,Moonlightbatshadow,,Moonlightbatshadow,https://www.furaffinity.net/user/moonlightbatshadow/,1,Complete,Ricotiger
United States,California,Moop,,Moop,https://www.furaffinity.net/user/moopdrea,8,Complete,Ricotiger
United States,Washington,Mordrudes Monsters,,Mordrudes Monsters,http://www.mordrudesmonsters.com/index.php,17,Complete,Ricotiger
United States,California,More Fur Less,,More Fur Less,http://www.morefurless.com/,145,Complete,Ricotiger
United States,Unknown,Mostly Bad Costumes,,Mostly Bad Costumes,https://suitalors.tumblr.com/,14,Complete,Ricotiger
United States,Unknown,Mothsicle Suits,,Mothsicle Suits,http://mothsicles.wix.com/mothsiclesuits,27,Complete,Ricotiger
Denmark,Unknown,Mugiwara Cosplay,,Mugiwara Cosplay,https://www.deviantart.com/maria-m--aka--bakura,35,Complete,Ricotiger
United States,Unknown,Multicolor Bark (Autumn Fallings),15/06/2010,Multicolor Bark (Autumn Fallings),https://www.multicolorbark.com/,1,Complete,Ricotiger
United States,Chicago,Munchkin Bunny,,Munchkin Bunny,https://www.furaffinity.net/user/munchkin-bunny,1,Complete,Ricotiger
United States,New Jersey,Muntjacked,,Muntjacked,https://www.furaffinity.net/user/Muntjacked,4,Complete,Ricotiger
United States,Colorado,Mushi Crosshairs,,Mushi Crosshairs,http://www.furaffinity.net/user/mushicrosshairs,95,Complete,Ricotiger
Czech Republic,Prague,Mut-Mut-Fur Costumes,,Mut-Mut-Fur Costumes,http://www.furaffinity.net/user/mut-mut-furcostumes,6,Complete,Bon
Slovakia,Unknown,Mutt-Zilla (Marshmellow),,Mutt-Zilla (Marshmellow),http://www.furaffinity.net/user/mutt-zilla/,22,Complete,Ricotiger
Canada,Saskatchewan,MuttRitzu,,MuttRitzu,https://www.furaffinity.net/user/muttritsu/,8,,
United States,California,My Fur Creations,,My Fur Creations,http://www.myfurcreations.com/,63,Complete,Ricotiger
United States,California,Myrtle's Monsters,,Myrtle's Monsters,https://www.furaffinity.net/user/Myrtles-Monsters,29,Complete,Ricotiger
Germany,Unknown,Mystic Creatures,,Mystic Creatures,https://mystic-creatures.com/,14,Complete,Ricotiger
Singapore,Unknown,Mystikreatures,,Mystikreatures,http://www.furaffinity.net/user/AnimagusFursuits/,13,Complete,Ricotiger
United States,Texas,Nafierye,,Nafierye,https://www.furaffinity.net/user/nafierye/,5,Complete,Ricotiger
United States,Texas,Nagowteena Costumes,,Nagowteena Costumes,http://www.furaffinity.net/user/nagowteenacostumes,6,Complete,Ricotiger
United States,Loisiana,Natsuro Suits,,Natsuro Suits,https://www.furaffinity.net/user/KazutoKurama,27,Complete,Ricotiger
United States,Unknown,Neala Appaloosa,,Neala Appaloosa,http://www.furaffinity.net/user/neala-appaloosa/,6,Complete,Bon
Canada,Ontario,Neex,,Neex,http://www.furaffinity.net/user/neex/,2,Complete,Ricotiger
United States,California,Nekofelin,,Nekofelin,https://www.furaffinity.net/user/nekofelin,3,Complete,Ricotiger
Germany,Unknown,Neon Fur Studios,,Neon Fur Studios,https://www.furaffinity.net/user/neonfurstudios/,27,Complete,Ricotiger
United States,Oklahoma,Neon Puppy Creations,,Neon Puppy Creations,https://www.facebook.com/NeonPuppyCreations/,11,Complete,Ricotiger
United States,North Carolina,Neonr0se,,Neonr0se,https://www.furaffinity.net/user/neonr0se/,13,Complete,Ricotiger
United States,New York,Nether Den Studio,,Nether Den Studio,http://www.furaffinity.net/user/netherden/,8,Complete,Ricotiger
United States,Unknown,Niennis,,Niennis,https://www.furaffinity.net/user/niennis/,20,,
Norway,Oslo,Nifeline,,Nifeline,https://www.furaffinity.net/user/nifeline/,3,Complete,Ricotiger
United States,New Jersey,Nightfell,,Nightfell,http://www.furaffinity.net/user/nightfell/,13,Complete,Ricotiger
Mexico,Unknown,Nightmare Beast Creations,,Nightmare Beast Creations,https://twitter.com/NightmareBeastC/media?lang=en,8,Complete,Ricotiger
Netherlands,Unknown,Nightwolf Creations,,Nightwolf Creations,https://furrynetwork.com/nightwolf/photos/,16,Complete,Ricotiger
United States,Michigan,Niiku,,Niiku,https://www.furaffinity.net/user/niiku,24,Complete,Ricotiger
Canada,Ontario,Noble Productions,,Noble Productions,http://www.furaffinity.net/user/noblewolf/,130,Complete,Ricotiger
United States,Florida,Norman Patches n' Furs,,Norman Patches n' Furs,http://www.furaffinity.net/user/normanpatchesnfurs,2,Complete,Bon
Norway,Unknown,Norsepaw Studio,,Norsepaw Studio,https://norsepaw.webs.com/,2,No Names,Ricotiger
Canada,British Columbia,Norsewolf Creations,,Norsewolf Creations,https://twitter.com/nwcfursuits?lang=en,15,Complete,Ricotiger
finland,Unknown,Northcat Creations,,Northcat Creations,https://northcatcreations.weebly.com/about.html,0,Complete,Shooter
Canada,Montreal,Northern Lights Costume Company (Wolfbird),,Northern Lights Costume Company (Wolfbird),https://www.furaffinity.net/user/wolfbird/,64,Complete,Bon
Canada,Ontario,Northfur FX,,Northfur FX,https://www.northfur.ca/,2,No Names,Ricotiger
United States,Georgia,Northshore Mascots,,Northshore Mascots,https://wildworkscostumes.weebly.com/,1,No Names,Ricotiger
United States,Costa Rica,Nucler Fur Creations,,Nucler Fur Creations,https://www.furaffinity.net/user/nuclerfurcreations/,45,Complete,Ricotiger
Poland,Katowice,Nuke Creations,,Nuke Creations,http://nukecreations.com/,26,Complete,Ricotiger
United States,Indiana,Ocicat,,Ocicat,https://www.furaffinity.net/user/ocicat/,14,Complete,Ricotiger
United States,Unknown,Og's Fursuits,,Og's Fursuits,https://www.furaffinity.net/user/ognas/,47,Complete,Ricotiger
United States,Arizona,Ohmega Suit Studios,,Ohmega Suit Studios,https://ohmegasuitstudios.weebly.com/,21,Complete,Ricotiger
France,Unknown,Omega Paws,,Omega Paws,http://www.furaffinity.net/gallery/omegapaws/,57,Complete,Ricotiger
United States,Oregon,OMG Pineapples,,OMG Pineapples,http://www.omgpineapples.net/,30,Complete,Ricotiger
United States,Unknown,Onai Wolfwind,,Onai Wolfwind,https://www.deviantart.com/onai-wolfwind/,7,Complete,Ricotiger
United States,Carolina,One Eyed Doe,,One Eyed Doe,https://www.oneeyeddoe.info/,9,Complete,Ricotiger
United States,Pennsylvania,One Eyed Jack ,,One Eyed Jack ,https://www.furaffinity.net/user/oneeyedjack/,6,Complete,Shooter
Canada,Unknown,One Fur All,,One Fur All,http://www.onefurall.com/,123,Complete,Ricotiger
Canada,Unknown,Onix Angel Creations,,Onix Angel Creations,https://www.onixangelcreations.com/,15,Complete,Ricotiger
Canada,British Columbia,Orwin,,Orwin,http://www.furaffinity.net/user/orwin/,6,Complete,Ricotiger
United States,Georgia,Otter Nonsense,,Otter Nonsense,https://www.furaffinity.net/user/Otter.Nonsense,14,Complete,Ricotiger
United States,Georgia,Otter-n-Daughter,,Otter-n-Daughter,http://www.furaffinity.net/user/otter.n.daughter/,30,Complete,Ricotiger
United States,Missouri,Our Mass Hysteria,,Our Mass Hysteria,http://www.furaffinity.net/user/ourmasshysteria/,38,Complete,Ricotiger
United States,New York,Oz Kangaroo,,Oz Kangaroo,http://www.furaffinity.net/user/ozkangaroo/,22,Complete,Ricotiger
Canada,Ontario,P Pardus,,P Pardus,https://p-pardus.livejournal.com/,23,Complete,Ricotiger
Brazil,Unknown,Paciulo Fursuits,,Paciulo Fursuits,https://www.facebook.com/paciulofursuits/,63,Complete,Ricotiger
United States,Texas,Paddlefoot,,Paddlefoot,https://www.furaffinity.net/user/paddlefoot/,3,Complete,Ricotiger
Germany,Unknown,Palohmino,,Palohmino,https://www.furaffinity.net/user/Palohmino,11,Complete,Ricotiger
United Kingdom,Glasgow,Panda Candy Suits (Blue Moon Creations BMC),,Panda Candy Suits,https://twitter.com/PandaCandySuits,10,Complete,Ricotiger
United States,Texas,Patchworkpibble,,Patchworkpibble,http://www.furaffinity.net/user/patchworkpibble/,0,Broken Link,Ricotiger
United States,Florida,Pawaii Suits,,Pawaii Suits,https://twitter.com/PawaiiFursuits?lang=en,16,Complete,Ricotiger
United States,New York,Pawgazer,,Pawgazer,https://www.pawgazer.com/,4,Complete,Shooter
Mexico,Unknown,Pawie Paws,,Pawie Paws,https://twitter.com/pawiepaws?lang=en,6,Complete,Ricotiger
United States,Unknown,Paws Fur Effect,,Paws Fur Effect,https://pawsfureffect.webs.com/,1,Complete,Shooter
United States,Florida,Paws Productions,,Paws Productions,https://www.furaffinity.net/user/Paws,3,Complete,Ricotiger
United States,Pennsylvania,Pawsome Furries,,Pawsome Furries,https://wolvez14.wixsite.com/pawsome-furries,30,Complete,Ricotiger and Shooter
United States,Nebraska,Pawthentic Creations,,Pawthentic Creations,https://www.furaffinity.net/user/PawthenticCreations,7,Complete,Ricotiger
United States,Oklahoma,Peacewolf Creations,,Peacewolf Creations,http://peacewolfcreations.com/,19,Complete,Ricotiger
France,Paris,Penpenfoli,,Penpenfoli,http://www.furaffinity.net/user/penpenfoli/,5,Complete,Ricotiger
United States,California,Phar,,Phar,https://www.furaffinity.net/user/dragonsquared/,8,Complete,Ricotiger
United States,Minnesota,Phoenix Nest,,Phoenix Nest,http://www.furaffinity.net/user/phoenixnest,67,Complete,Ricotiger
Germany,Unknown,Pico Dog Studios,,Pico Dog Studios,https://www.furaffinity.net/user/picodogstudio/,,,
China,Unknown,Pink Fox Works,,Pink Fox Works,https://twitter.com/Pinkfox2017,12,Complete,Shooter
United States,Illinois,Pink Gecko Productions,,Pink Gecko Productions,https://pinkgeckoproductions.weebly.com/,12,Complete,Ricotiger
United States,Unknown,Piranha Petting Zoo,,Piranha Petting Zoo,http://www.furaffinity.net/user/piranhapettingzoo/,1,Complete,Ricotiger
Canada,Ontario,Pixel and Fur,,Pixel and Fur,https://www.furaffinity.net/user/pixelandfur/,4,,
United States,Unknown,Pocalypto Designs,,Pocalypto Designs,https://www.furaffinity.net/user/pocalypto-designs/,0,Broken Link,Ricotiger
United States,Chicago,Pocket Wolf Fursuits,,Pocket Wolf Fursuits,https://www.furaffinity.net/user/pocketwolfcollections/,25,Complete,Ricotiger
Poland,Unknown,Pokem,,Pokem,http://www.furaffinity.net/user/Pokem/,2,Complete,Ricotiger
Russia,Dzerzhinsk,Polarlight,,Polarlight,https://www.furaffinity.net/user/polarlight/,6,Complete,Ricotiger
United States,Texas,PotatoMonster Cosplay,,PotatoMonster Cosplay,http://potatomonstercosplay.weebly.com/,8,Complete,Shooter
United States,California,Pouchhopper,,Pouchhopper,https://pouchhopper.livejournal.com/,2,No Names,Ricotiger
United States,Unknown,Prefur,,Prefur,https://www.deviantart.com/prefur,18,Complete,Ricotiger
France,Unknown,Priamwolf,,Priamwolf,http://www.furaffinity.net/user/priamwolf/,29,Complete,Ricotiger
United States,Unknown,Primal Art,,Primal Art,https://www.furaffinity.net/user/primal-art/,58,Complete,Ricotiger
United States,Unknown,Primal Visions,,Primal Visions,http://alexisrudd.com/,6,Complete,Shooter
United States,California,Psybird,,Psybird,https://twitter.com/Lucifurrv,0,No Names,Shooter
United States,New Hampshire,Pup1K,,Pup1K,https://www.furaffinity.net/user/pup1k/,2,No Names,Ricotiger
United States,Unknown,Purple Slushie,,Purple Slushie,https://www.furaffinity.net/user/purpleslushie/,7,,
Mexico,Unknown,Pyrope Costumes,,Pyrope Costumes,https://twitter.com/PyropeCostumes,11,Complete,Ricotiger
United Kingdom,Blackpool,Queen of Yeen (Crafty Hyena),,Queen of Yeen (Crafty Hyena),http://www.furaffinity.net/user/hyenaclaw,2,Complete,Shooter
United States,North Carolina,Ques Costumes,,Ques Costumes,https://www.furaffinity.net/user/quescostumes/,12,,
United States,Texas,Quest Fur Saplings (ElfinStray),,Guest Fur Saplings,https://questfursaplings.weebly.com/,5,Complete,Ricotiger
Slovakia,Unknown,R5 Suits,,R5 Suits,http://www.furaffinity.net/user/r5suits,22,Complete,Shooter
United States,Texas,Rabbit in the Moon,,Rabbit in the Moon,https://www.furaffinity.net/user/rabbitinthemoon/,1,Complete,Ricotiger
Brazil,Unknown,Rachel Loal,,Rachel Loal,https://www.facebook.com/RachelLoalART,1,Complete,Ricotiger
United States,Michigan,Radioactimals,,Radioactimals,http://www.radioactimals.com/,0,Broken Link,Shooter
Canada,Alberta,Raditz Wyvern,,Raditz Wyvern,https://www.furaffinity.net/user/Raditz-wyvern,18,Complete,Ricotiger
United States,California,RadPandas,,RadPandas,https://www.furaffinity.net/user/radpandas/,7,Complete,Ricotiger
United States,Colorado,Rage and Roar Customs,,Rage and Roar Customs,http://www.furaffinity.net/user/3lectroangel,19,Complete,Shooter
United Kingdom,London,Rainbow Productions,,Rainbow Productions,https://www.facebook.com/Rainbow-Productions-571534512865859/,3,Complete,Shooter
United States,Unknown,Rainbow Wolfie Creations,,Rainbow Wolfie Creations,https://www.deviantart.com/rainbowwolfiex,2,Complete,Ricotiger
United States,Ohio,Rainbowbeatz,,Rainbowbeatz,http://www.furaffinity.net/user/rainbowbeatz,15,Complete,Ricotiger
United Kingdom,Yorkshire,Ranshiin,,Ranshiin,http://www.furaffinity.net/user/ranshiin/,3,Complete,Ricotiger
United States,Unknown,Rastafarian Lion,,Rastafarian Lion,http://fursuitreview.com/maker/rastafarianlion/,1,Broken Link,Shooter
United States,Indiana,Ratcoffee,,Ratcoffee,http://www.furaffinity.net/gallery/ratcoffee/,15,,
United States,Florida,Ratty Mischief Creations,,Ratty Mischief Creations,https://aminoapps.com/c/furry-amino/page/user/taffy-the-rat/BQkR_B7Jhbf5268z5aoDD3aJ56wQaY8a7dE,0,Complete,Shooter
United Kingdom,Hertfordshire,Ravell,,Ravell,http://www.furaffinity.net/user/ravell,2,Complete,Ricotiger
United States,Washington,Razzy Lee,,Razzy Lee,https://twitter.com/razzy_lee/,13,Complete,Ricotiger
United States,North Carolina,Reason for Pawz,,Reason for Pawz,https://www.furaffinity.net/user/reasonforpawz/,2,Complete,Ricotiger
United States,Unknown,Red Diamond Creations,,Red Diamond Creations,https://twitter.com/NoColission,4,Complete,Ricotiger
United States,Washington,Red Hyena,,Red Hyena,https://redhyena.net/,4,Complete,Ricotiger
Germany,Unknown,Red Moon Hawk,,Red Moon Hawk,https://twitter.com/RedMoonHawk1,4,,
United States,Arizona,Redstorm Fursuits,,Redstorm Fursuits,https://redstormfurs.weebly.com/,32,Complete,Ricotiger
United States,Unknown,Regal Wolf Studios,,Regal Wolf Studios,https://www.deviantart.com/regalwolfstudios,4,Complete,Ricotiger
Argentina,Unknown,Resurrecting Creatures,,Resurrecting Creatures,https://www.facebook.com/ResurrectingCreatures,13,Complete,Ricotiger
United States,California,Reveille D'Giovanetti,,Reveille D'Giovanetti,https://reveille-d.livejournal.com/profile,5,Broken Link ,Shooter
United States,North Carolina,Rex,,Rex,http://www.furaffinity.net/user/canrexplay/,21,Complete,Ricotiger
United States,Florida,Rhee,,Rhee,https://www.furaffinity.net/user/Rhee,29,Complete,Ricotiger
United States,Unknown,Rhys Ookami,,Rhys Ookami,https://www.furaffinity.net/user/RhysOokami,29,Complete,Ricotiger
United States,Unknown,Riiya,,Riiya,https://www.furaffinity.net/user/riiya/,14,,
United States,Colorado,Ritz Costumes,,Ritz Costumes,https://www.ritzcostumes.com/,29,Complete,Ricotiger
United States,Unknown,Roofur,,Roofur,http://www.roofur.com/,139,Complete,Ricotiger
United States,Unknown,RooksRoofTops (RND Crafters),,RooksRoofTops (RND Crafters),https://rndcrafters.wixsite.com/randdcrafters,2,Complete,Ricotiger
United States,Missouri,RooSuits,,RooSuits,https://www.furaffinity.net/user/RooSuits,7,Complete,Ricotiger
Australia,Unknown,Rosequoll,,Rosequoll,https://www.furaffinity.net/user/rosequoll/,21,Complete,Ricotiger
United States,Maryland,Rossykitti Kreations,,Rossykitti Kreations,https://rossykittikreations.weebly.com/,26,Complete,Ricotiger
United States,New York,Rowdy Monster,,Rowdy Monster,https://www.furaffinity.net/user/rowdymonster,2,Complete,Ricotiger
United States,Illinois,Ruff Stuff Costumes (Green Fox Fursuits GFF),,Ruff Stuff Costumes,https://twitter.com/RUFFStuffSuits,35,Complete,Ricotiger
United States,Florida,Ruffled Designs,,Ruffled Designs,http://ruffleddesigns.com/,22,Complete,Ricotiger
United States,Ohio,Rum Wolf Studios,,Rum Wolf Studios,https://www.rumwolf.net/,18,Complete,Ricotiger
United Kingdom,Leicester,Runaway Workshop,,Runaway Workshop,http://www.furaffinity.net/gallery/awsole/,19,Complete,Shooter
United States,Unknown,Running Wolf Productions,,Running Wolf Productions,https://www.runningwolfpack.com/,1,Complete,Ricotiger
Germany,Lichtenstein,Runoratsu,,Runoratsu,http://www.furaffinity.net/user/runoratsu/,3,Complete,Ricotiger
United States,Arkansas,Rust Rat,,Rust Rat,http://www.furaffinity.net/user/silverraccoon/,10,Complete,Ricotiger
United States,Colorado,Ryoken,,Ryoken,https://www.furaffinity.net/user/ryoken/,2,Complete,Ricotiger
United States,Oregon,Sabrinageek,,Sabrinageek,https://www.furaffinity.net/user/sabrinageek/,1,Complete,Ricotiger
Argentina,Buenos Aires,Saigo Zangetzu,,Saigo Zangetzu,https://www.furaffinity.net/user/SaigoZangetzu,103,Complete,Ricotiger
United States,Unknown,Salty Suits,,Salty Suits,https://saltysuits.webs.com/,33,Complete,Ricotiger
United States,Unknown,Salvo Sniper,,Salvo Sniper,http://salvosniper.wixsite.com/commissions/piercing,4,Complete,Ricotiger
Australia,Unknown,Samajulas Fursuits,,Samajulas Fursuits,https://www.furaffinity.net/user/samajula/,5,Complete,Ricotiger
United States,Delaware,Sammy Smiles Works,,Sammy Smiles Works,https://www.furaffinity.net/user/myriddle4u,17,Complete,Ricotiger
United States,Washington,Sammy's Fur Shoppe,,Sammy's Fur Shoppe,http://www.furaffinity.net/user/samthemoose101,4,Complete,Ricotiger
United Kingdom,Unknown,Sanctuary Suits,,Sanctuary Suits,https://sanctuarysuits.webs.com/,13,Complete,Ricotiger
United States,Connecticut,Sarahcat,,Sarahcat,http://www.furaffinity.net/user/sarahcat/,111,Complete,Ricotiger
Germany,Unknown,Sasa Creations,,Sasa Creations,https://www.furaffinity.net/user/~sasa/,8,Complete,Ricotiger
United States,Tennessee,Sashaligress,,Sashaligress,http://www.furaffinity.net/user/captainsasha,7,Complete,Ricotiger
United States,Kentucky,Sassy Pup Creations,,Sassy Pup Creations,https://www.sassypupcreations.com/,54,Complete,Ricotiger
United States,Georgia,Savage Turtle Studios,,Savage Turtle Studios,https://www.furaffinity.net/user/savageturtlestudios/,50,Complete,Ricotiger
United States,Unknown,Saved Ferret,,Saved Ferret,https://www.instagram.com/saveferret/,6,,
United States,Unknown,Scardykat85,,Scardykat85,https://www.furaffinity.net/user/scardykat85/,35,Complete,Ricotiger
Germany,Unknown,Schneepardi Creations,,Schneepardi Creations,https://www.furaffinity.net/user/sethaa/,51,Complete,Ricotiger
United States,Pennsylvania,Scratch Kitty,,Scratch Kitty,http://www.furaffinity.net/user/scratchkitty/,2,Complete,Ricotiger
United States,Wisconsin,Scuddlebutt Creatures (Onai),,Scuddlebutt Creatures (Onai),http://www.furaffinity.net/user/onai,88,Complete,Ricotiger
United States,Unknown,Seadog Suits,,Seadog Suits,http://seadogsuits.tumblr.com/,11,Complete,Ricotiger
United States,Kansas,Sector Suits,,Sector Suits,https://www.sectorsuits.com,11,,
United States,Michigan,SereStudios,,SereStudios,http://www.furaffinity.net/user/~serenity~,4,Complete,Ricotiger
Germany,Unknown,Sewing-Critters,,Sewing-Critters,http://www.sewing-critters.com/,11,Complete,Shooter
Canada,Unknown,Seylyn,,Seylyn,https://www.furaffinity.net/user/seylyn,4,Complete,Ricotiger
United States,Unknown,Shaggy Griffon Studios,,Shaggy Griffon Studios,http://www.furaffinity.net/user/shaggygriffonstudios/,26,Complete,Ricotiger
Canada,Unknown,Shagpoke Studios,,Shagpoke Studios,http://www.furaffinity.net/user/shagpoke/,28,Complete,Ricotiger
United States,Unknown,Shamrock Scales,,Shamrock Scales,https://www.instagram.com/shamrock.scales/,,,
United States,Michigan,Sharkteefs,,Sharkteefs,https://twitter.com/Sharkteefs,6,Complete,Shooter
United States,Michigan,Sharpe Costumes,,Sharpe Costumes,https://www.furaffinity.net/user/Sharpe19,143,Complete,Ricotiger
France,Unknown,Sheevee,,Sheevee,https://www.furaffinity.net/user/sheevee,80,Complete,Ricotiger & Bon
