Country,Region,Maker,"First Fursuit Social Media Post",Link,Suits Added: 838/855 - 99% Complete (132 Suits Remaining),No of Suits,Suits Added,Completed By
United States,Maine,CCS Mascots,15/06/2016,CCS Mascots,http://www.furaffinity.net/user/CCSMascots,33,Complete,Ricotiger
Brazil,Unknown,Cenobear,17/07/2014,Cenobear,https://www.furaffinity.net/user/cenobear/,12,Complete,Ricotiger
United States,California,CFStudios,18/08/2016,CFStudios,http://www.cfstudiosonline.com/,45,Complete,Ricotiger
United States,California,Chairo,27/07/2010,Chairo,http://www.furaffinity.net/user/chairo/,11,Complete,Ricotiger
United States,North Carolina,Chibi Marrow,13/04/2018,Chibi Marrow,http://www.furaffinity.net/user/chibi-marrow,2,Complete,Ricotiger
United States,Maryland,Chilifoo,08/04/2016,Chilifoo,http://www.furaffinity.net/user/Chilifoo,7,Complete,Ricotiger
United States,New Hampshire,Chipmunk Dreams,12/06/2017,Chipmunk Dreams,http://www.furaffinity.net/user/chipmunkdreamstudios/,0,No Names,Shooter
Netherlands,Unknown,Chiyo Fursuiting,21/07/2015,Chiyo Fursuiting,http://crissangelisthebes.wixsite.com/chiyofursuiting,1,Complete,Ricotiger
Canada,Ontario,Cinnamon Rabbit Creations,12/12/2017,Cinnamon Rabbit Creations,https://www.facebook.com/CinnamonRabbit/,3,Complete,Ricotiger
United States,Unknown,Circle Bird Works (Warped Reality),,Circle Bird Works,http://www.furaffinity.net/user/CircleBirdWorks,9,Complete,Ricotiger
United States,North Carolina,City Mutt Fursuits,,City Mutt Fursuits,http://www.citymuttfursuits.com/,89,Complete,Ricotiger
Canada,Saint Catharines,Clawsome Creations,,Clawsome Creations,https://en-gb.facebook.com/ClawsomeCreations/,3,Complete,Ricotiger
United States,Unknown,Clip Point Creations,,Clip Point Creations,http://www.furaffinity.net/user/clippointcreations/,4,Complete,Ricotiger
United States,Michigan,Clock Struck One,,Clock Struck One,http://www.furaffinity.net/user/ClockStruckOne,2,Complete,Ricotiger
United States,Unknown,Clockwork Carousel,,Clockwork Carousel,http://www.furaffinity.net/user/clockworkcarousel,3,Complete,Ricotiger
United States,Maryland,Clockwork Creatures,,Clockwork Creatures,http://www.clockworkcreature.com/,174,Complete,Ricotiger
Brazil,Sao Paulo,Coby Fursuits,,Coby Fursuits,https://www.furaffinity.net/user/coby-wong/,37,Complete,Ricotiger
United States,Indiana,Coffee Costumes,,Coffee Costumes,http://www.furaffinity.net/user/CoffeeCostumes,14,Complete,Ricotiger
United States,Unknown,Coffee Kitty Studio,,Coffee Kitty Studio,https://coffeekittystudio.wixsite.com/coffeeks,9,Complete,Ricotiger
United States,Colorado,Colorful Creatures,,Colorful Creatures,https://www.colorful-creatures.com/,8,Complete,Ricotiger
United States,Portland,ConiFURous,,ConiFURous,http://www.furaffinity.net/user/conifurous,0,Broken Link,Ricotiger
United Kingdom,Cornwall,Constellation Creations,,Constellation Creations,https://www.deviantart.com/took-southpaw/,4,No Names,Ricotiger
United States,Texas,Coonec Creations,,Coonec Creations,https://www.furaffinity.net/user/cooneccreations/,12,Complete,Ricotiger
United States,New York,Cosplay Dawn,,Cosplay Dawn,https://www.cosplaydawn.com/,2,Complete,Ricotiger
United States,Texas,Cowan Costumes,,Cowan Costumes,https://www.cowancostumes.com/,1,No Names,Ricotiger
United States,Unknown,Coyote Mountain Costumes,,Coyote Mountain Costumes,http://www.furaffinity.net/user/wildpup11/,5,Complete,Ricotiger
United States,California,Crafty Coyo Costumes,,Crafty Coyo Costumes,https://www.furaffinity.net/user/craftycoyocostumes/,21,Complete,Ricotiger
United States,Nevada,Crafty Critters,,Crafty Critters,https://www.furaffinity.net/user/craftycritters/,12,Complete,Ricotiger
United Kingdom,Canterbury,Crafty Husky,,Crafty Husky,https://twitter.com/PixelCraftHusky,6,Complete,Shooter
Ireland,Galway City,Crafty Vulpine,,Crafty Vulpine,https://twitter.com/CraftyVulpine/media?lang=en,6,Complete,Shooter
United States,Washington,Craftypillar,,Craftypillar,https://twitter.com/Craftypillar,14,Complete,Ricotiger
United States,Illinois,Crazi Corgi,,Crazi Corgi,http://www.furaffinity.net/user/corgiface/,10,Complete,Ricotiger
Ireland,Leinster,Creation by LadyNightLight,,Creation by LadyNightLight,https://georginacarpenter1.wixsite.com/ladynightlight,6,Complete,Ricotiger
United States,California,Creative Mochi,,Creative Mochi,http://www.creativemochi.com/,8,Complete,Ricotiger
United States,Ohio,Creature Haven,,Creature Haven,http://www.furaffinity.net/user/CreatureHaven,12,Complete,Ricotiger
Netherlands,Zwolle,Creatury,,Creatury,http://www.furaffinity.net/user/creatury/,17,Complete,Ricotiger
Taiwan,Unknown,Cross the Fur,,Cross the Fur,https://www.facebook.com/CrosstheFur/,5,Complete,Ricotiger
Finland,Unknown,Crusher Costumes,,Crusher Costumes,https://crushercostumes.wixsite.com/crushercostumes/gallery,8,Complete,Shooter
United States,Ohio,Crystal Cat Fursuits,,Crystal Cat Fursuits,https://www.instagram.com/crystal_cat_fursuits/,8,Complete,Ricotiger
United States,Washington,Crystumes,,Crystumes,http://www.furaffinity.net/user/Crystumes,84,Complete,Ricotiger
United States,Unknown,Cupcake Critters,,Cupcake Critters,https://twitter.com/CupcakeCritters/media,5,Complete,Shooter
United States,Tennessee,Curiosity Created the Cat,,Curiosity Created the Cat,https://curiositycreatedthecat.weebly.com/,1,Complete,Ricotiger
United Kingdom,Unknown,Curious Creatures,,Curious Creatures,http://thoughtdemons.wixsite.com/curiouscreatures,4,No Names,Ricotiger
Canada,Quebec,Curious Tabby Studios,,Curious Tabby Studios,https://www.furaffinity.net/user/alytabby/,4,Complete,Ricotiger
United Kingdom,Unknown,Cursed Creations,,Cursed Creations,http://www.furaffinity.net/user/CursedCreations,3,Complete,Ricotiger
United States,Texas,CuttleB0ne,,CuttleB0ne,https://www.furaffinity.net/user/cuttlebone/,15,Complete,Ricotiger
United Kingdom,London,Cwoodsdean Creations,,Cwoodsdean Creations,https://www.cwoodsdeancreations.com/,28,Complete,Ricotiger
United Kingdom,Southampton,Cyon,,Cyon,https://twitter.com/CyonFR,1,Complete,Bon
United States,Ohio,Dalmy Do Dat Creations,,Dalmy Do Dat Creations,http://www.dalmydodatcreations.com/,6,Complete,Ricotiger
United States,Georgia,Dandelion Fursuits,,Dandelion Fursuits,http://www.furaffinity.net/user/DandelionTheElefox,10,Complete,Ricotiger
United States,Texas,Dandy Designs,,Dandy Designs,http://www.furaffinity.net/user/dandydesign/,5,Complete,Ricotiger
United States,Washington,Dandylions LLC,,Dandylions LLC,http://www.dandylionsllc.com/,43,Complete,Ricotiger
United States,Minnesota,Danish Pawstries,,Danish Pawstries,https://www.facebook.com/DanishPawstries/,8,Complete,Shooter
Canada,Ontario,Dark Creations,,Dark Creations,http://www.darkcreations.ca/,20,Complete,Ricotiger
Germany,Schleswig-Holstein,Dark Rainbow Dragon,,Dark Rainbow Dragon,http://www.furaffinity.net/user/kathathedragoness,0,Complete,Shooter
United States,Ohio,Dead Dogma,,Dead Dogma,http://www.furaffinity.net/user/dead-dogma/,1,Complete,Ricotiger
United States,South Carolina,Deadly Creations Fursuits,,Deadly Creations Fursuits,https://twitter.com/DeadlyFursuits,4,Complete,Ricotiger
United States,Unknown,Deathatsix,,Deathatsix,https://www.deviantart.com/deathatsix/,2,Complete,Ricotiger
United States,Florida,Deer In A Hat Costumes,,Deer In A Hat Costumes,https://deerinahat.com/,0,No Names,Ricotiger
United Kingdom,Unknown,Deezlberries,,Deezlberries,https://www.deviantart.com/deezlberries,3,No Names,Ricotiger
United States,Unknown,Defiant Tail Waggers Anonymous (DTWA),,Defiant Tail Waggers Anonymous (DTWA),https://www.furaffinity.net/user/dtwa/,52,Complete,Ricotiger
United States,California,Delicious Disguises,,Delicious Disguises,https://www.deliciousdisguises.com/,6,Complete,Ricotiger
United States,Unknown,Demon Ferret Studios,,Demon Ferret Studios,https://www.demonferretstudios.com/,13,Complete,Ricotiger
United States,Florida,Designosaur,,Designosaur,https://www.weasyl.com/~designosaur,18,Complete,Ricotiger and Shooter
United States,Unknown,Dexterous Zombie,,Dexterous Zombie,http://dexterouszombie190.wixsite.com/dexterouszombie,6,Complete,Ricotiger
United States,California,Diadexxus,,Diadexxus,http://www.furaffinity.net/user/Diadexxus/,13,Complete,Ricotiger
United States,Vermont,Difurgence,,Difurgence,http://www.difurgence.com/,11,Complete,Ricotiger
United Kingdom,Unknown,Dingz,,Dingz,http://www.furaffinity.net/user/dingz/,16,Complete,Ricotiger
United States,Unknown,Dino Queen Creations,,Dino Queen Creations,https://dinoqc.wixsite.com/-dinoqueencreations?fbclid=IwAR1aO3SD4d-P9DQf7nlKHqCS1M4kACxjWTm2iU-Mpd3HKLeZC5BI1IJdwMw,13,Complete,Ricotiger
Czech Republic,Unknown,Dire Creatures,,Dire Creatures,https://www.direcreatures.com/,21,Complete,Ricotiger
United States,Unknown,Dolphyn,,Dolphyn,http://www.furaffinity.net/user/dolphyn,5,Complete,Ricotiger
United States,Unknown,Dombrus,,Dombrus,https://www.furaffinity.net/user/dombrus/,18,Complete,Ricotiger
United States,Arizona,Don't Hug Cacti,,Don't Hug Cacti,http://www.donthugcacti.com/index.php,179,Complete,Ricotiger
Mexico,Jalisco,Dorky Dog Suits,,Dorky Dog Suits,http://www.furaffinity.net/user/DorkyDogSuits,6,Complete,Ricotiger
Taiwan,Unknown,Dragon-X2,,Dragon-X2,http://www.furaffinity.net/user/dragon-x2/,96,Complete,Ricotiger
United States,Georgia,Dragon's Grin Studios,,Dragon's Grin Studios,https://dragonsgrinstudios.weebly.com/,0,No Names,Ricotiger
