Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Eight,Dog Domestic,47,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Green,Orange,Dog Half Cocked Stub Tail,
,Nazar,Fantasy - Monster,89,,,8Bit-Works,8,Partial,None,Toony,N/A,N/A,Brown,Green,Missingno (No Avatar Graphic Found),
,Peony,Mouse,164,,,8Bit-Works,8,Partial,None,Toony,Plantigrade,Four,White,Purple,Mouse (Rat),
,Pixel,Hybrid Dutch Angel Dragon,123,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,White,Multi,Angel Dragon,
,Pocari,Kangaroo,148,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Blue,Blue,Kangaroo,
,Rio,Hybrid Dutch Angel Dragon,123,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Blue,Red,Angel Dragon,
,Swirl,Cat Domestic,18,,,8Bit-Works,8,Partial,None,Toony,Plantigrade,Four,White,Yellow,Domestic Cat,
,Times,Coyote,25,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Brown,Brown,Dog Thick Tail,
,Umbreon,Fantasy - Pokemon,91,,,8Bit-Works,8,Fullsuit,None,Toony,Digitigrade,Four,Black,Red,Media,
,White Tie Dye Canine,Dog Domestic,47,,,8Bit-Works,8,Partial,None,Toony,Plantigrade,Four,White,Multi,Dog Half Cocked Stub Tail,
,Arlo,Wolf,210,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Wolf,
,Artex,Dog Domestic,47,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Blue,Blue,Dog Half Cocked Stub Tail,
,Blue,Rabbit,182,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,White,Blue,Rabbit,
,Chu,Dog Mixed Breed,55,,,A Ginger's Suits,9,Partial,None,Toony,N/A,N/A,Pink,Blue,Dog Half Cocked Medium Tail,
,Cutter,Wolf,210,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Green,Green,Wolf,
,Deadclaw,Fantasy - Dragon,78,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Red,White,Dragon,
,Doodles,Rabbit,182,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Rabbit,
,Eclipse,Hybrid Custom,120,,,A Ginger's Suits,9,Partial,None,Toony,N/A,N/A,White,Yellow,Hybrid,
,Hal,Dog Corgi,43,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Black,White,Dog Half Cocked Stub Tail,
,Kovex,Wild Dog,208,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Spotted Dog,
,Noble,Cat Domestic,18,,,A Ginger's Suits,9,Partial,None,Toony,Plantigrade,Four,Brown,Brown,Domestic Cat,
,Skitti,Dog Domestic,47,,,A Ginger's Suits,9,Partial,None,Toony,N/A,N/A,Purple,Blue,Dog Half Cocked Stub Tail,
,Tripp Hazard,Hybrid Custom,120,,,A Ginger's Suits,9,Partial,None,Toony,N/A,N/A,White,White,Hybrid,
,Cappuccino Raccoon,Raccoon,183,,,Admirals Costumes,10,Partial,None,Toony,N/A,N/A,Brown,Green,Raccoon,
,Isaac,Otter,169,,,Admirals Costumes,10,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Jackal Husky,Hybrid Custom,120,,,Admirals Costumes,10,Partial,None,Toony,N/A,N/A,Black,Purple,Hybrid,
,Liel,Fox,100,,,Admirals Costumes,10,Partial,None,Toony,N/A,N/A,Yellow,Blue,Fox,
,Mayflower,Otter,169,,,Admirals Costumes,10,Partial,None,Toony,N/A,N/A,Brown,Blue,"Mustelidae (Weasel, Meerkat etc)",
