Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Quartz,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Hybrid,
,Rain,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Hybrid,
,Raith,Dog Husky,52,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Four,White,Blue,Husky,
,Rascal,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,Brown,Multi,Hybrid,
,Renegade,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,Black,Blue,Hybrid,
,Rivalo,Wolf,210,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Wolf,
,Roadtrip,Dog Domestic,47,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Blue,Blue,Dog Half Cocked Stub Tail,
,Rocket,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Digitigrade,Five,Brown,Blue,Hybrid,
,Roko,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Four,Black,Green,Hybrid,
,Ronin,Wolf,210,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Wolf,
,Ronin,Fox,100,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,White,Green,Fox,
,Roofus,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Hybrid,
,Ryka,Dog Husky,52,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Husky,
,Saguine,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,White,Blue,Hybrid,
,Seneca,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,Black,Red,Hybrid,
,Seth,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Hybrid,
,Shale,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,N/A,N/A,Black,Yellow,Hybrid,
,Skav,Raccoon,183,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,White,Green,Raccoon,
,Sky,Cheetah,19,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Spotted Cat,
,Sky High,Dog Husky,52,,,Mischief Makers,488,Partial,None,Toony,N/A,N/A,Yellow,Multi,Husky,
,Sookie,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Black,Yellow,Hybrid,
,Sorne,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,Orange,Multi,Hybrid,
,SpiffyPoP,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,White,Green,Hybrid,
Splat Owner: Skyrocketneko Species: fennec DB Added: 2015-06-05 Created: 2014-04-30 Updated: 2015-06-05 Builder(s): Mischief Makers,Splat,Fennec,97,30-04-2014,05-06-2015,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,Blue,Green,Fennec,
,Stone,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Grey,Purple,Hybrid,
,Suckerpunch,Kangaroo,148,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Kangaroo,
,Sunrise,Bird,13,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Yellow,Purple,Bird (Small),
,Syber,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Digitigrade,Five,Blue,Green,Hybrid,
,T-lo,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Purple,Blue,Hybrid,
,Tank,Dog German Shepherd,48,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,Brown,Orange,Dog Thick Tail,
,Tarzz,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Digitigrade,Five,Blue,Green,Hybrid,
,Ten Cents,Cat Domestic,18,,,Mischief Makers,488,Partial,None,Toony,N/A,N/A,White,Green,Domestic Cat,
,Tigsy,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Digitigrade,Five,White,Green,Hybrid,
,Toast,Fox,100,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Brown,Purple,Fox,
,Toast,Fox,100,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Brown,Purple,Fox,
,Tobasco,Cheetah,19,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,Red,Blue,Spotted Cat,
,Tukamos,Coyote,25,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Five,Brown,Orange,Dog Thick Tail,
,Tweeko,Wolf,210,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,White,Green,Wolf,
,Twinkle,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Four,Blue,Grey,Hybrid,
,Tymid,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,N/A,N/A,Black,Blue,Hybrid,
,Valdor,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,Yellow,Blue,Hybrid,
,Vandal,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Grey,Red,Hybrid,
,Veejay,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Four,Brown,Green,Hybrid,
,Wibby,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Four,Black,Green,Hybrid,
,Woofers,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Hybrid,
,Wulf,Otter,169,,,Mischief Makers,488,Partial,None,Toony,N/A,N/A,White,Green,"Mustelidae (Weasel, Meerkat etc)",
,X'Trap,Hybrid Custom,120,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Four,White,Blue,Hybrid,
,Zan,Dog German Shepherd,48,,,Mischief Makers,488,Partial,None,Toony,Plantigrade,Four,Grey,Multi,Dog Thick Tail,
,Zeek,Hybrid Custom,120,,,Mischief Makers,488,Fullsuit,None,Toony,Plantigrade,Five,White,White,Hybrid,
,Dan the Cabbit Head,Hybrid Cabbit,115,,,Miss Wolfiee,489,Fullsuit,None,Toony,Plantigrade,Five,Pink,Blue,Hybrid,
,Deku/Izuku Inspired Dog,Dog Domestic,47,,,Miss Wolfiee,489,Partial,None,Toony,Plantigrade,Four,Brown,Green,Dog Half Cocked Stub Tail,
,Dizzie,Hybrid Dutch Angel Dragon,123,,,Miss Wolfiee,489,Partial,None,Realistic Toony,Plantigrade,Four,Pink,Pink,Angel Dragon,
,Kyovo,Hyena,144,,,Miss Wolfiee,489,Fullsuit,None,Toony,Digitigrade,Four,Blue,Orange,Missingno (No Avatar Graphic Found),
,Kyovo,Hyena,144,,,Miss Wolfiee,489,Fullsuit,None,Toony,Digitigrade,Four,Blue,Orange,Missingno (No Avatar Graphic Found),
,Linus,Extinct Mammal,71,,,Miss Wolfiee,489,Partial,None,Toony,Plantigrade,Four,Black,Purple,Extinct,
,Lupin,Hybrid Custom,120,,,Miss Wolfiee,489,Partial,None,Realistic,N/A,N/A,Black,Green,Hybrid,
,Meulin,Hybrid Custom,120,,,Miss Wolfiee,489,Partial,None,Toony,Plantigrade,Five,Purple,Blue,Hybrid,
,Neapolitan,Hybrid Dutch Angel Dragon,123,,,Miss Wolfiee,489,Partial,None,Realistic Toony,Plantigrade,Four,Brown,Pink,Angel Dragon,
,Premade Lioness Head,Lion,152,,,Miss Wolfiee,489,Partial,None,Toony,N/A,N/A,Purple,Multi,Lion,
,Primrose,Horse,113,,,Miss Wolfiee,489,Partial,None,Toony,N/A,N/A,Grey,Pink,Horse,
,Purple Dutch Angel Dragon Premade,Hybrid Dutch Angel Dragon,123,,,Miss Wolfiee,489,Partial,None,Realistic Toony,Plantigrade,Four,Purple,White,Angel Dragon,
,Rafiki,Lion,152,,,Miss Wolfiee,489,Fullsuit,None,Toony,Digitigrade,Four,Brown,Green,Lion,
,Squiggles the Sparkle Mutt,Hybrid Custom,120,,,Miss Wolfiee,489,Partial,None,Toony,N/A,N/A,Purple,Blue,Hybrid,
,Sved,Wolf,210,,,Miss Wolfiee,489,Partial,None,Toony,N/A,N/A,Brown,Red,Wolf,
,Zyaoik,Hybrid Crux,119,,,Miss Wolfiee,489,Partial,None,Toony,Plantigrade,Four,Purple,Green,Hybrid,
,Cabbit,Hybrid Cabbit,115,,,Mitha,491,Fullsuit,None,Realistic,Digitigrade,Five,White,Blue,Hybrid,
,Darris,Wolf,210,,,Mitha,491,Partial,None,Realistic,N/A,N/A,Black,Blue,Wolf,
,Diesel,Wolf,210,,,Mitha,491,Partial,None,Realistic,N/A,N/A,Black,Yellow,Wolf,
,Embraer,Dog Mixed Breed,55,,,Mitha,491,Fullsuit,None,Toony,Digitigrade,Five,Orange,Brown,Dog Half Cocked Medium Tail,
,IceFumy Blue Fox,Fox,100,,,Mitha,491,Partial,None,Realistic,N/A,N/A,Blue,Green,Fox,
,Nordohuskamute Grey Fox,Fox,100,,,Mitha,491,Partial,None,Realistic,Digitigrade,Five,Grey,Brown,Fox,
,Sanjoro,Wolf,210,,,Mitha,491,Partial,None,Realistic,N/A,N/A,Grey,Blue,Wolf,
,Sitka,Dog Husky,52,,,Mitha,491,Fullsuit,None,Toony,Digitigrade,Five,Black,Blue,Husky,
,Spotty Raven,Bird,13,,,Mitha,491,Partial,None,Realistic,N/A,N/A,Black,Blue,Bird (Small),
,Wilshire Grey Fox,Fox,100,,,Mitha,491,Fullsuit,None,Realistic,Digitigrade,Five,Grey,Brown,Fox,
,Zeldrick Red Fox,Fox,100,,,Mitha,491,Fullsuit,None,Realistic,Digitigrade,Five,Brown,Blue,Fox,
,Abram Wolf,Wolf,210,,,Mixed Candy,492,Fullsuit,Muscle,Realistic,Digitigrade,Four,Black,Brown,Wolf,
,Ace,Dog Domestic,47,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Brown,Blue,Dog Half Cocked Stub Tail,
AceRover Owner: aceyboy Species: dog DB Added: 2007-01-06 Created: 2007-11-12 Updated: 2010-12-19 Builder(s): Mixed Candy - Latin Vixen,Acerover,Dog Domestic,47,12-11-2007,19-12-2010,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Brown,Blue,Dog Half Cocked Stub Tail,
Aerak Wolf Owner: Aerak Species: wolf DB Added: 2007-06-17 Created: Updated: 2007-06-17 Builder(s): Mixed Candy - Latin Vixen,Aerak Wolf,Wolf,210,,17-06-2007,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,White,Black,Wolf,
,Agnes,Goat,106,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Other,Brown,Blue,Goat,
,Aigus,Kangaroo,148,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Black,Green,Kangaroo,
Akando Owner: Lagan Species: coyote DB Added: 2013-07-06 Created: 2013-01-01 Updated: 2013-07-06 Builder(s): Mixed Candy - Latin Vixen,Akando,Coyote,25,01-01-2013,06-07-2013,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Grey,Green,Dog Thick Tail,
Akela Vincent Owner: akelavincent Species: wolf DB Added: 2006-09-20 Created: 2004-10-31 Updated: 2006-09-20 Builder(s): Mixed Candy - Latin Vixen,Akela Vincent,Wolf,210,31-10-2004,20-09-2006,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,N/A,Black,Blue,Wolf,
,Alopexs Dog,Dog Domestic,47,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Dog Half Cocked Stub Tail,
Amarok Radjin Owner: Radjin Species: dragon DB Added: 2006-09-06 Created: 2006-01-16 Updated: 2016-12-26 Builder(s): Mixed Candy - Latin Vixen,Amarok Radjin,Fantasy - Dragon,78,16-01-2006,26-12-2016,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,White,Green,Dragon,
,Amereto,Dog Domestic,47,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Orange,Dog Half Cocked Stub Tail,
"Amran Owner: Amran Species: cat , fox DB Added: 2006-12-09 Created: 2006-10-01 Updated: 2008-11-14 Builder(s): Mixed Candy - Latin Vixen",Amran,Hybrid Custom,120,01-10-2006,14-11-2008,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Grey,Green,Hybrid,
,Amy,Horse,113,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Black,Yellow,Horse,
,Angora Cat,Cat Domestic,18,,,Mixed Candy,492,Partial,None,Realistic Toony,N/A,N/A,White,Green,Domestic Cat,
Antimon Owner: Antimon Species: meerkat DB Added: 2006-09-20 Created: 2004-11-18 Updated: 2008-04-15 Builder(s): Mixed Candy - Latin Vixen,Antimon,Meerkat,158,18-11-2004,15-04-2008,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Antonio,Fox,100,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Grey,Brown,Fox,
Apollo Owner: Xavier Species: DB Added: 2006-11-30 Created: 2006-11-05 Updated: 2008-10-28 Builder(s): Mixed Candy - Latin Vixen,Apollo,Hybrid Custom,120,05-11-2006,28-10-2008,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Hybrid,
,Apollo,Hybrid Custom,120,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Hybrid,
,Arcais,Red Panda,185,,,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Red Panda,
Ari Owner: Blastdav Species: wolf DB Added: 2011-09-03 Created: 2011-01-21 Updated: 2017-12-19 Builder(s): Mixed Candy - Latin Vixen,Ari,Wolf,210,21-01-2011,19-12-2017,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Blue,Yellow,Wolf,
,Arnold,Skunk,193,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Black,Brown,Missingno (No Avatar Graphic Found),
,Artamis,Lion,152,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,White,Grey,Lion,
,Artemis,Skunk,193,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Five,Grey,Blue,Missingno (No Avatar Graphic Found),
,Artick Husky,Dog Husky,52,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Husky,
ArtySkox Owner: ArtySkox Species: skunk DB Added: 2010-08-12 Created: 2007-07-01 Updated: 2010-08-12 Builder(s): Mixed Candy - Latin Vixen,Artyskox,Skunk,193,01-07-2007,12-08-2010,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,Missingno (No Avatar Graphic Found),
,Aryte (Realistic),Fox,100,,,Mixed Candy,492,Partial,None,Realistic,N/A,N/A,White,Blue,Fox,
,Aryte (Toony),Fox,100,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,White,Blue,Fox,
,Audi Mutt,Dog Domestic,47,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Dog Half Cocked Stub Tail,
,Audrey,Dog Australian Shepherd,33,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Dog Half Cocked Medium Tail,
,Avik,Dog Domestic,47,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Brown,Brown,Dog Half Cocked Stub Tail,
Axle Owner: Axle Species: fox DB Added: 2009-10-03 Created: Updated: 2015-09-06 Builder(s): Mixed Candy - Latin Vixen,Axle,Fox,100,,06-09-2015,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Fox,
Azur Owner: Vector Species: dragon DB Added: 2009-12-07 Created: 2009-11-27 Updated: 2014-11-11 Builder(s): Mixed Candy - Latin Vixen,Azur,Fantasy - Dragon,78,27-11-2009,11-11-2014,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Blue,Green,Dragon,
,Baby Blue Dragon,Fantasy - Dragon,78,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Blue,Orange,Dragon,
,Backwolf Two Tails,Wolf,210,,,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,Black,Yellow,Wolf,
,Bailey,Dog Domestic,47,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Five,White,Blue,Dog Half Cocked Stub Tail,
,Bandit,Dog German Shepherd,48,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Black,Brown,Dog Thick Tail,
,Bandit,Wolf,210,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Red,Brown,Wolf,
,Banshee,Dog Husky,52,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Blue,Blue,Husky,
,Basil,Bear,11,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Green,Bear,
,Bixen,Hybrid Custom,120,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Hybrid,
,Black and Grey Wolf,Wolf,210,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Wolf,
,Black Wolf,Wolf,210,,,Mixed Candy,492,Partial,None,Realistic,N/A,N/A,Black,Brown,Wolf,
,Black Wolf Use Your Own Eyes,Wolf,210,,,Mixed Candy,492,Partial,None,Realistic,N/A,N/A,Brown,Black,Wolf,
,Black Wolf With Green Eyes,Wolf,210,,,Mixed Candy,492,Partial,None,Realistic,Plantigrade,Four,Black,Green,Wolf,
,Blaez,Fox,100,,,Mixed Candy,492,Fullsuit,None,Realistic,Plantigrade,Five,Brown,Blue,Fox,
,Blake,Dog Burnese Mountain,39,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Black,Dog Half Cocked Medium Tail,
Blake Owner: Blake_Tiger Species: white tiger DB Added: 2012-03-13 Created: Updated: 2012-03-13 Builder(s): Mixed Candy - Latin Vixen,Blake,Tiger,202,,13-03-2012,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Yellow,Green,Tiger,
,Blaze Darkama,Fantasy - Dragon,78,,,Mixed Candy,492,Partial,None,Realistic,Plantigrade,Five,Black,Brown,Dragon,
Blaze Xanatos Darkarma Owner: blazedarkarma Species: dragon DB Added: 2007-02-13 Created: 2007-01-15 Updated: 2011-05-21 Builder(s): Mixed Candy - Latin Vixen,Blaze Xanatos Darkarma,Fantasy - Dragon,78,15-01-2007,21-05-2011,Mixed Candy,492,Partial,None,Toony,Plantigrade,Five,Brown,Yellow,Dragon,
,Blazer,Raccoon,183,,,Mixed Candy,492,Fullsuit,None,Realistic,Digitigrade,Five,Brown,Grey,Raccoon,
,Bloo Roo,Kangaroo,148,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Blue,Blue,Kangaroo,
bloodwolf Owner: bloodwolves Species: wolf DB Added: 2006-11-10 Created: 2006-07-13 Updated: 2012-10-24 Builder(s): Mixed Candy - Latin Vixen,Bloodwolf,Wolf,210,13-07-2006,24-10-2012,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,Grey,Yellow,Wolf,
,Blossom,Cat Domestic,18,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Black,Purple,Domestic Cat,
,Blue Dragon,Fantasy - Dragon,78,,,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,Blue,Green,Dragon,
Blueneko Owner: Blueneko Species: snow leopard DB Added: 2006-09-24 Created: 2004-03-14 Updated: 2010-01-28 Builder(s): Blackfire Mixed Candy - Latin Vixen,Blueneko,Snow Leopard,196,14-03-2004,28-01-2010,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Blue,Green,Snow Leopard,
,Border Collie,Dog Border Collie,35,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Black,Brown,Dog Half Cocked Medium Tail,
,Borny,Fox,100,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Blue,Green,Fox,
"Boyne Owner: Mahrkale Species: jaguar , sabertooth DB Added: 2010-07-26 Created: 2010-06-20 Updated: 2010-07-26 Builder(s): Mixed Candy - Latin Vixen",Boyne,Hybrid Custom,120,20-06-2010,26-07-2010,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Black,Green,Hybrid,
,Bradley,Bear,11,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Black,Bear,
,Brice,Dog Doberman,46,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Black,Red,Dog Half Cocked Stub Tail,
Bridger T Owner: Kaibab Species: bunny DB Added: 2010-11-02 Created: 2010-09-30 Updated: 2014-02-11 Builder(s): Mixed Candy - Latin Vixen,Bridger T,Rabbit,182,30-09-2010,11-02-2014,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,Rabbit,
,Brophy,Bear,11,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Bear,
,Brown Cat Girl,Cat Domestic,18,,,Mixed Candy,492,Partial,None,Toony,Plantigrade,Five,Brown,Pink,Domestic Cat,
,Brown Wolf Head,Wolf,210,,,Mixed Candy,492,Partial,None,Realistic,N/A,N/A,Grey,Brown,Wolf,
,Bruce,Dog German Shepherd,48,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Black,Dog Thick Tail,
,Bunny Girl,Rabbit,182,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Brown,Blue,Rabbit,
,Bunny Roo,Hybrid Custom,120,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Blue,Purple,Hybrid,
Byakko Owner: DarkenTiger Species: tiger DB Added: 2006-11-06 Created: 2006-01-16 Updated: 2016-10-22 Builder(s): Mixed Candy - Latin Vixen,Byakko,Tiger,202,16-01-2006,22-10-2016,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,White,Orange,Tiger,
,Cadpig,Lion,152,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Lion,
Calafin Owner: naketa Species: dolphin DB Added: 2006-09-27 Created: 2005-12-25 Updated: 2006-09-27 Builder(s): Mixed Candy - Latin Vixen,Calafin,Dolphin,66,25-12-2005,27-09-2006,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Missingno (No Avatar Graphic Found),
,Calamity,Cougar,23,,,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,Brown,Yellow,Feline (Long Tail),
,Carwyn,Dog Corgi,43,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Brown,Blue,Dog Half Cocked Stub Tail,
,Cassie,Hybrid Custom,120,,,Mixed Candy,492,Partial,None,Toony,N/A,N/A,Brown,Purple,Hybrid,
"CB Roo Owner: Antimon Species: bunny , kangaroo DB Added: 2008-04-14 Created: 2008-02-15 Updated: 2008-04-15 Builder(s): Mixed Candy - Latin Vixen",Cb Roo,Hybrid Custom,120,15-02-2008,15-04-2008,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Blue,Pink,Hybrid,
,Chaka,Wolf,210,,,Mixed Candy,492,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Wolf,
Che Owner: Ship Species: monkey DB Added: 2009-03-08 Created: 2008-11-23 Updated: 2009-03-08 Builder(s): Mixed Candy - Latin Vixen,Che,Primate,180,23-11-2008,08-03-2009,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Primate,
,Cherry Blossom,Goat,106,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Other,Pink,Brown,Goat,
,Chevron,Fox,100,,,Mixed Candy,492,Fullsuit,Muscle,Toony,Plantigrade,Four,White,Blue,Fox,
,Chinnok,Wolf,210,,,Mixed Candy,492,Fullsuit,Muscle,Realistic,Plantigrade,Five,Brown,Multi,Wolf,
Ciro Owner: Chorca Species: coyote DB Added: 2008-11-03 Created: 2008-11-01 Updated: 2008-11-03 Builder(s): Mixed Candy - Latin Vixen,Ciro,Coyote,25,01-11-2008,03-11-2008,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Yellow,Dog Thick Tail,
,Cirrus,Hybrid Custom,120,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Green,Hybrid,
,Clay,Fox,100,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,White,Brown,Fox,
,Collie,Dog Collie,42,,,Mixed Candy,492,Partial,None,Realistic Toony,N/A,N/A,Black,Green,Dog Half Cocked Medium Tail,
Cookie Owner: Cookie Species: rat DB Added: 2007-05-25 Created: Updated: 2007-08-29 Builder(s): Mixed Candy - Latin Vixen,Cookie,Rat,184,,29-08-2007,Mixed Candy,492,Partial,None,Toony,Plantigrade,Five,White,Orange,Mouse (Rat),
,Cosmo,Cheetah,19,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Black,Spotted Cat,
,Cougari,Cougar,23,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Brown,Green,Feline (Long Tail),
,Covah,Hybrid Custom,120,,,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Green,Blue,Hybrid,
,Coyote,Coyote,25,,,Mixed Candy,492,Fullsuit,None,Realistic,Digitigrade,Five,Grey,Brown,Dog Thick Tail,
Crash the dog Owner: crashthedog Species: dog DB Added: 2007-09-02 Created: 2007-08-29 Updated: 2009-04-06 Builder(s): Mixed Candy - Latin Vixen,Crash The Dog,Dog Domestic,47,29-08-2007,06-04-2009,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Grey,Black,Dog Half Cocked Stub Tail,
,Croc,Crocodile,26,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Four,Green,Black,Missingno (No Avatar Graphic Found),
Cuddles Owner: whiteshadowfox Species: dog DB Added: 2012-04-10 Created: Updated: 2012-04-10 Builder(s): Mixed Candy - Latin Vixen,Cuddles,Dog Rottweiler,60,,10-04-2012,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Dog Half Cocked Stub Tail,
Dandi Owner: Mochi Species: goat DB Added: 2012-09-27 Created: 2009-01-01 Updated: 2012-09-27 Builder(s): Mixed Candy - Latin Vixen,Dandi,Goat,106,01-01-2009,27-09-2012,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Goat,
Dandi DoLollie Owner: CannibalMouth Species: goat DB Added: 2009-02-03 Created: 2009-01-22 Updated: 2009-02-09 Builder(s): Mixed Candy - Latin Vixen,Dandi Dolollie,Goat,106,22-01-2009,09-02-2009,Mixed Candy,492,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Goat,
,Darkpaw Folf,Hybrid Folf,124,,,Mixed Candy,492,Fullsuit,None,Toony,Digitigrade,Five,Grey,Green,Hybrid,
